PLANT_NO,UNIT_ID,POWER_COLLECTOR_KEY,UNIT_TYPE,DESCRIPTION,CATEGORY,UNIT_SN,SPECIFICATION,WITH_DC,CAPACITY,facing,INV_RSID,INV_SN,INV_NO,INV_SIZE,MPPT,STRING_QTY,ARRAY_QTY,MODULE_QTY,module_power,inverter_model,inverter_serial_number,tilt,orientation,orientation_azimuth,remark,sensor_model,MPPT_RELATION
ECTT0007,ECTT0007M010,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,36.6,NULL,NULL,NULL,NULL,30.0,NULL,20.0,6.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M020,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,36.6,NULL,NULL,NULL,NULL,30.0,NULL,20.0,6.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M030,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,36.6,NULL,NULL,NULL,NULL,30.0,NULL,20.0,6.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M040,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,36.6,NULL,NULL,NULL,NULL,30.0,NULL,20.0,6.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M050,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,36.6,NULL,NULL,NULL,NULL,30.0,NULL,20.0,6.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M060,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,36.6,NULL,NULL,NULL,NULL,30.0,NULL,20.0,6.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M070,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,23.18,NULL,NULL,NULL,NULL,20.0,NULL,19.0,4.0,NULL,305.0,PV-20000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M080,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,32.025,NULL,NULL,NULL,NULL,30.0,NULL,21.0,5.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M090,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,32.025,NULL,NULL,NULL,NULL,30.0,NULL,21.0,5.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M100,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,32.025,NULL,NULL,NULL,NULL,30.0,NULL,21.0,5.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M110,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,32.025,NULL,NULL,NULL,NULL,30.0,NULL,21.0,5.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECTT0007,ECTT0007M120,ECTT000701,INVERTER,NULL,METER,NULL,PrimeVOLT,0.0,32.025,NULL,NULL,NULL,NULL,30.0,NULL,21.0,5.0,NULL,305.0,PV-30000T-U,NULL,NULL,NULL,NULL,NULL,NULL,NULL
